,0
AGTO-ELM,1258.8705737729906
AVOA-ELM,486.23254802799784
ARO-ELM,500.86954133800464
HGSO-ELM,557.3173912560451
EVO-ELM,510.65978296200046
TLO-ELM,998.1558784560184
