AS,PS,NPV,RS,F1S,model
1.0,1.0,1.0,1.0,1.0,SVM
0.9973556019485038,0.9868040827366162,0.9985312361939276,0.9868392207250686,0.98677456188971,KNN
0.9766179540709812,0.8902245056483065,0.9870006581816384,0.8828201266427493,0.8848338545985539,DT
0.9991649269311068,0.995893674670653,0.9995367282930852,0.99577892209186,0.9958218216964048,RF
0.940848990953375,0.7409091120729359,0.967613088101737,0.7006913881439653,0.7016520676327465,ABC
1.0,1.0,1.0,1.0,1.0,GBC
0.999304105775922,0.9965782858609774,0.9996137720257966,0.996493687154286,0.996528685295374,MLP
0.9839944328462072,0.9205350765139436,0.9911137042863484,0.9197129209907776,0.9198905533042406,ELM
0.9897007654836464,0.948611179331649,0.9942844017448148,0.9482005107356212,0.9482898758745592,AGTO-ELM
0.9909533750869868,0.9550950480592452,0.9949850457812566,0.9544297658078698,0.9544518932818572,AVOA-ELM
0.9866388308977035,0.9332819671057492,0.9926187573040955,0.9325084540271444,0.9320372065593632,ARO-ELM
0.9567153792623522,0.7842672815068978,0.9760957000465088,0.7834642010864152,0.780257275612845,HGSO-ELM
0.9709116214335424,0.8537970235853258,0.9840384403034192,0.8529296178589622,0.8486703550588437,EVO-ELM
0.9834377174669452,0.9164751157034252,0.9908486914980196,0.9164103796983576,0.9156828573975008,TLO-ELM
