,0
AGTO-ELM,12069.60305333999
AVOA-ELM,6239.549667297979
ARO-ELM,6272.64215085801
HGSO-ELM,7112.301871970994
EVO-ELM,6477.329310971021
TLO-ELM,13027.77062517096
