,0
AGTO-ELM,2423.5137243890204
AVOA-ELM,980.0245325290016
ARO-ELM,1070.356009326002
HGSO-ELM,1164.9522913789842
EVO-ELM,1015.6836204940046
TLO-ELM,2186.772034575988
