,0
AGTO-ELM,316.2557004939881
AVOA-ELM,161.13201660098275
ARO-ELM,161.93345042300643
HGSO-ELM,176.6313107360038
EVO-ELM,205.4136853860109
TLO-ELM,322.96277000999544
