,0
AGTO-ELM,7656.720828136
AVOA-ELM,3849.5570976260005
ARO-ELM,3857.1834812769994
HGSO-ELM,4339.140817509
EVO-ELM,4136.654701926
TLO-ELM,8052.503248789999
