,0
AGTO-ELM,3440.6990310850088
AVOA-ELM,1975.9058377170004
ARO-ELM,1704.475114002009
HGSO-ELM,2001.6973005229956
EVO-ELM,1848.9833698450238
TLO-ELM,3406.8907852210104
