battery_power,int_memory,px_height,px_width,ram,price_range
0.22778891115564462,0.9,0.01020408163265306,0.17089452603471295,0.6127739176910743,1
0.20307281229124916,0.14166666666666666,0.3270408163265306,0.13618157543391188,0.0432923570283271,0
0.2738810955243821,0.8416666666666667,0.23520408163265305,0.11348464619492657,0.02859433458043827,0
0.26586506346025385,0.7666666666666667,0.4020408163265306,0.554739652870494,0.028861571352218066,0
0.5090180360721442,0.7916666666666666,0.09081632653061225,0.9232309746328438,0.24772848743987172,1
0.7541750167000668,0.0,0.363265306122449,0.8184245660881175,0.3995189738107964,2
0.9345357381429525,0.075,0.5382653061224489,0.7750333778371161,0.6988241582041689,3
0.9298597194388778,0.825,0.6137755102040816,0.6221628838451269,0.327632282202031,2
0.5671342685370742,0.8416666666666667,0.188265306122449,0.029372496662216287,0.5427578834847675,1
0.052772211088844355,0.09166666666666666,0.5540816326530612,0.5640854472630173,0.8538214858364511,3
0.14696058784235136,0.95,0.7377551020408163,0.9933244325767691,0.07322287546766434,0
0.43353373413493657,0.45,0.11938775510204082,0.9659546061415221,0.361838588989845,1
0.6305945223780896,0.775,0.6494897959183673,0.5640854472630173,0.3166755745590593,1
0.9899799599198397,0.375,0.18877551020408162,0.4652870493991989,0.9730090860502405,3
0.7201068804275217,0.06666666666666667,0.6928571428571428,0.8271028037383178,0.8754676643506146,3
0.14295257181028725,0.6666666666666666,0.010714285714285714,0.04138851802403204,0.9227685729556387,2
0.3092852371409486,0.05,0.11479591836734694,0.48998664886515353,0.6202565473009086,2
0.07414829659318638,0.825,0.5841836734693877,0.6588785046728972,0.8086584714056654,3
0.6847027388109552,0.3,0.40714285714285714,0.6128170894526035,0.8180117584179583,3
0.918503674014696,0.15,0.30612244897959184,0.47463284379172227,0.7685729556386959,3
0.3907815631262525,0.25833333333333336,0.02857142857142857,0.43391188251001334,0.8094601817210048,2
0.9846359385437542,0.4,0.04081632653061224,0.10347129506008011,0.7327632282202031,2
0.4308617234468938,0.25833333333333336,0.037244897959183676,0.05540720961281709,0.00935328701229289,0
0.5637942551770208,0.6833333333333333,0.2612244897959184,0.644192256341789,0.2848743987172635,1
0.678690714762859,0.525,0.4091836734693878,0.6602136181575434,0.6857295563869589,3
0.5657982631930528,0.15,0.9535714285714286,0.9626168224299065,0.18679850347407803,1
0.04676018704074816,0.8833333333333333,0.09030612244897959,0.5220293724966623,0.6258685195082844,1
0.4315297261189045,0.65,0.5535714285714286,0.4232309746328438,0.6336183858898985,2
0.40080160320641284,0.5666666666666667,0.19744897959183674,0.513351134846462,0.518439337252806,1
0.9498997995991983,0.925,0.39132653061224487,0.8404539385847797,0.32950293960448956,1
0.10754843019372078,0.48333333333333334,0.5107142857142857,0.4833110814419226,0.4994655264564404,1
0.8690714762859052,0.175,0.12908163265306122,0.06008010680907877,0.11758417958311064,0
0.06479625918503674,0.9666666666666667,0.3469387755102041,0.4492656875834446,0.8115980758952431,2
0.13026052104208416,0.975,0.3311224489795918,0.27169559412550065,0.6344200962052379,1
0.6559786239144957,0.8,0.27091836734693875,0.17222963951935916,0.42624265098877606,1
0.23981295925183702,0.8916666666666667,0.17091836734693877,0.6428571428571429,0.4313201496525922,1
0.5270541082164328,0.25,0.2066326530612245,0.16154873164218958,0.16648850881881347,0
0.46092184368737477,0.075,0.02142857142857143,0.2049399198931909,0.15179048637092463,0
0.9498997995991983,0.05,0.4459183673469388,0.5100133511348465,0.5940673436664885,2
0.45490981963927857,0.48333333333333334,0.14030612244897958,0.32443257676902537,0.6165152324959915,2
0.6025384101536406,0.08333333333333333,0.11071428571428571,0.7496662216288384,0.17771245323356494,0
0.7354709418837675,0.75,0.6423469387755102,0.8317757009345794,0.8995189738107964,3
0.9225116900467601,0.275,0.0020408163265306124,0.16221628838451269,0.8880277926242651,3
0.0394121576486306,0.6583333333333333,0.7387755102040816,0.7429906542056075,0.5061464457509354,2
0.9953239812959251,0.8416666666666667,0.1520408163265306,0.35847797062750336,0.428915018706574,1
