Model,Time
SVM,0.3616523430682719
KNN,0.16327094612643123
DT,0.16127861384302378
RF,0.1824976080097258
ABC,0.19292571116238832
GBC,0.24754660483449697
MLP,0.4069077610038221
ELM,0.1950210859067738
