Model,Time
AGTO-ELM,12.622245509643108
AVOA-ELM,6.594773600809276
ARO-ELM,7.064837688580155
HGSO-ELM,6.962417148053646
EVO-ELM,7.498171128798276
TLO-ELM,12.660874780267477
