,0
AGTO-ELM,8686.630327839986
AVOA-ELM,4331.382847507019
ARO-ELM,4432.952955365996
HGSO-ELM,4998.8200549510075
EVO-ELM,4971.282650659035
TLO-ELM,8836.378979029018
